Movies,Actors
Hustlers,"['Cardi B', 'Constance Wu', 'Jennifer Lopez', 'Julia Stiles', 'Keke Palmer', 'Lili Reinhart', 'Lizzo', 'Madeline Brewer', 'Mette Towley', 'Trace Lysette']"
Escape Room,"['Logan Miller', 'Taylor Russell']"
The Upside,"['Bryan Cranston', 'Kevin Hart']"
Glass,"['Anya Taylor-Joy', 'Bruce Willis', 'James McAvoy', 'Samuel L. Jackson']"
Serenity,"['Djimon Hounsou', 'Matthew McConaughey']"
Captain Marvel,"['Annette Bening', 'Ben Mendelsohn', 'Brie Larson', 'Chris Evans', 'Clark Gregg', 'Djimon Hounsou', 'Don Cheadle', 'Gemma Chan', 'Lashana Lynch', 'Lee Pace', 'Mark Ruffalo', 'Mckenna Grace', 'Samuel L. Jackson', 'Scarlett Johansson']"
Captive State,"['Madeline Brewer', 'Vera Farmiga']"
The Hummingbird Project,"['Alexander Skarsgård', 'Salma Hayek']"
Us,"['Elisabeth Moss', ""Lupita Nyong'o"", 'Yahya Abdul-Mateen II']"
Dumbo,"['Colin Farrell', 'Danny DeVito', 'Eva Green', 'Michael Keaton']"
The Beach Bum,"['Martin Lawrence', 'Matthew McConaughey']"
Shazam!,"['Djimon Hounsou', 'Zachary Levi']"
The Man Who Killed Don Quixote,"['Adam Driver', 'Stellan Skarsgård']"
Hellboy,"['David Harbour', 'Ian McShane', 'Milla Jovovich']"
Master Z: Ip Man Legacy,"['Dave Bautista', 'Tony Jaa']"
Avengers: Endgame,"['Anthony Mackie', 'Benedict Cumberbatch', 'Benedict Wong', 'Brie Larson', 'Chadwick Boseman', 'Chris Evans', 'Chris Hemsworth', 'Chris Pratt', 'Danai Gurira', 'Dave Bautista', 'Don Cheadle', 'Elizabeth Olsen', 'Evangeline Lilly', 'Gwyneth Paltrow', 'Hiroyuki Sanada', 'Jeremy Renner', 'Jon Favreau', 'Josh Brolin', 'Karen Gillan', 'Ken Jeong', 'Letitia Wright', 'Mark Ruffalo', 'Michelle Pfeiffer', 'Paul Rudd', 'Pom Klementieff', 'Robert Downey Jr.', 'Samuel L. Jackson', 'Scarlett Johansson', 'Sebastian Stan', 'Terry Notary', 'Tom Hiddleston', 'Tom Holland', 'Vin Diesel', 'Zoe Saldana']"
UglyDolls,"['Lizzo', 'Nick Jonas']"
The Hustle,"['Rebel Wilson', 'Rob Delaney']"
Aladdin,"['Marwan Kenzari', 'Mena Massoud', 'Naomi Scott', 'Navid Negahban', 'Will Smith']"
Godzilla: King of the Monsters,"['Millie Bobby Brown', 'Vera Farmiga']"
Rocketman,"['Jimmy Vee', 'Richard Madden', 'Taron Egerton']"
The Secret Life of Pets 2,"['Harrison Ford', 'Kevin Hart', 'Tiffany Haddish']"
Men in Black: International,"['Chris Hemsworth', 'Kumail Nanjiani', 'Liam Neeson', 'Rebecca Ferguson']"
Toy Story 4,"['Keanu Reeves', 'Tom Hanks']"
Annabelle Comes Home,"['Mckenna Grace', 'Patrick Wilson', 'Vera Farmiga']"
Ophelia,"['Daisy Ridley', 'George MacKay']"
Spider-Man: Far From Home,"['Ben Mendelsohn', 'Jake Gyllenhaal', 'Jon Favreau', 'Samuel L. Jackson', 'Tom Holland', 'Zendaya']"
Stuber,"['Dave Bautista', 'Karen Gillan', 'Kumail Nanjiani']"
"Love, Antosha","['Anya Taylor-Joy', 'Chris Pine', 'Kristen Stewart', 'Zoe Saldana']"
The Kitchen,"['Elisabeth Moss', 'Tiffany Haddish']"
The Angry Birds Movie 2,"['Awkwafina', 'Brooklynn Prince', 'Tiffany Haddish']"
The Goldfinch,"['Ansel Elgort', 'Finn Wolfhard', 'Oakes Fegley']"
Downton Abbey,"['Elizabeth McGovern', 'Hugh Bonneville', 'Imelda Staunton', 'Jim Carter', 'Maggie Smith', 'Michelle Dockery', 'Penelope Wilton']"
Gemini Man,"['Benedict Wong', 'Mary Elizabeth Winstead', 'Will Smith']"
Jexi,"['Michael Peña', 'Rose Byrne']"
Black and Blue,"['Naomie Harris', 'Tyrese Gibson']"
Arctic Dogs,"['Anjelica Huston', 'Jeremy Renner']"
Last Christmas,"['Henry Golding', 'Rob Delaney']"
