Rank,Movie,Release Date,Distributor,Genre,2019 Gross,Tickets Sold
186,Bharat, 2019-06-05,Viva Entertainment,Action,"$2,684,911","293,112"
16,The Secret Life of Pets 2, 2019-06-07,Universal,Adventure,"$158,874,395","17,344,366"
43,Dark Phoenix, 2019-06-07,20th Century Fox,Action,"$65,845,974","7,188,425"
117,Late Night, 2019-06-07,Amazon Studios,Comedy,"$15,500,045","1,692,144"
160,Pavarotti, 2019-06-07,CBS Films,Documentary,"$4,686,402","511,615"
162,The Last Black Man in San F…, 2019-06-07,A24,Drama,"$4,515,719","492,982"
347,"The Gangster, The Cop, The …", 2019-06-07,Well Go USA,Action,"$216,494","23,634"
353,Chasing the Dragon 2: Wild …, 2019-06-07,Well Go USA,Action,"$196,634","21,466"
384,Framing John DeLorean, 2019-06-07,Sundance Selects,Documentary,"$145,626","15,898"
422,Loopers: The Caddie’s Long …, 2019-06-07,Gravitas Ventures,Documentary,"$90,679","9,899"
431,Papi Chulo, 2019-06-07,Blue Fox Entertai…,Comedy,"$84,703","9,247"
567,Funan, 2019-06-07,GKIDS,Drama,"$15,152","1,654"
578,This One’s For The Ladies, 2019-06-07,Super LTD,Documentary,"$13,688","1,494"
617,Ghost Fleet, 2019-06-07,Abramorama Films,Documentary,"$7,850",856
504,Killer Unicorn, 2019-06-11,Indican Pictures,Horror,"$33,901","3,700"
401,Free Trip to Egypt, 2019-06-12,Fathom Events,Documentary,"$120,780","13,185"
416,The Reports on Sarah and Sa…, 2019-06-12,Dada Films,Drama,"$99,958","10,912"
35,Men in Black: International, 2019-06-14,Sony Pictures,Adventure,"$80,001,807","8,733,821"
103,Shaft, 2019-06-14,Warner Bros.,Comedy,"$21,360,215","2,331,901"
143,The Dead Don’t Die, 2019-06-14,Focus Features,Horror,"$6,782,066","740,400"
343,American Woman, 2019-06-14,Roadside Attractions,Drama,"$236,637","25,833"
379,Hampstead, 2019-06-14,IFC Films,Drama,"$148,636","16,226"
456,Being Frank, 2019-06-14,Film Arcade,Comedy,"$67,343","7,351"
473,Clinton Road, 2019-06-14,Nocturnal Features,Horror,"$50,400","5,502"
520,In the Aisles, 2019-06-14,Music Box Films,Drama,"$28,394","3,099"
571,Our Time, 2019-06-14,Monument Releasing,Drama,"$14,777","1,613"
660,Back to the Fatherland, 2019-06-14,First Run Features,Documentary,"$2,697",294
4,Toy Story 4, 2019-06-21,Walt Disney,Adventure,"$434,038,008","47,384,062"
83,Child’s Play, 2019-06-21,United Artists,Horror,"$29,208,403","3,188,690"
140,Anna, 2019-06-21,Lionsgate,Action,"$7,743,794","845,392"
211,Wild Rose, 2019-06-21,Neon,Drama,"$1,635,118","178,506"
243,Toni Morrison: The Pieces I Am, 2019-06-21,Magnolia Pictures,Documentary,"$903,018","98,582"
495,The Quiet One, 2019-06-21,IFC Films,Documentary,"$37,012","4,040"
552,Before Stonewall, 2019-06-21,First Run Features,Documentary,"$18,724","2,044"
36,Annabelle Comes Home, 2019-06-26,Warner Bros.,Horror,"$74,152,591","8,095,261"
426,The Chambermaid, 2019-06-26,Kino Lorber,Drama,"$86,961","9,493"
477,The Queen, 2019-06-27,Kino Lorber,Documentary,"$47,818","5,220"
37,Yesterday, 2019-06-28,Universal,Romantic Comedy,"$73,286,650","8,000,726"
180,Maiden, 2019-06-28,Sony Pictures Cla…,Documentary,"$3,162,490","345,250"
209,The Other Side of Heaven 2:…, 2019-06-28,ArtAffects,Drama,"$1,807,116","197,283"
389,The Other Story, 2019-06-28,Strand,Drama,"$134,962","14,733"
472,Ophelia, 2019-06-28,IFC Films,Drama,"$50,722","5,537"
563,Three Peaks, 2019-06-28,Greenwich,Drama,"$16,216","1,770"
7,Spider-Man: Far From Home, 2019-07-02,Sony Pictures,Action,"$390,532,085","42,634,507"
87,Midsommar, 2019-07-03,A24,Horror,"$27,426,363","2,994,144"
238,Marianne & Leonard: Words o…, 2019-07-05,Roadside Attractions,Documentary,"$1,013,820","110,679"
620,I’ll Take Your Dead, 2019-07-05,Breakthrough Ente…,Horror,"$7,692",839
310,The Cure: Anniversary 1978-…, 2019-07-11,Trafalgar Releasing,Concert/Perfor…,"$378,405","41,310"
71,Crawl, 2019-07-12,Paramount Pictures,Horror,"$39,014,193","4,259,191"
98,Stuber, 2019-07-12,20th Century Fox,Comedy,"$22,370,452","2,442,189"
112,The Farewell, 2019-07-12,A24,Drama,"$17,700,478","1,932,366"
191,The Art of Self-Defense, 2019-07-12,Bleecker Street,Comedy,"$2,410,914","263,200"
196,Super 30, 2019-07-12,Reliance Entertai…,Drama,"$2,269,878","247,803"
274,Bethany Hamilton: Unstoppable, 2019-07-12,Entertainment Stu…,Documentary,"$590,671","64,483"
317,Sword of Trust, 2019-07-12,IFC Films,Drama,"$322,598","35,218"
336,I Got The Hook-Up 2, 2019-07-12,RLJ Entertainment,Comedy,"$252,293","27,542"
419,Rojo, 2019-07-12,Distrib Films,Drama,"$94,757","10,344"
250,Between Me and My Mind, 2019-07-17,Trafalgar Releasing,Documentary,"$813,844","88,847"
2,The Lion King, 2019-07-19,Walt Disney,Adventure,"$543,638,043","59,349,131"
256,David Crosby: Remember My Name, 2019-07-19,Sony Pictures Cla…,Documentary,"$732,515","79,968"
441,A Faithful Man, 2019-07-19,Kino Lorber,Romantic Comedy,"$77,776","8,490"
588,Cassandro the Exotico, 2019-07-19,Film Movement,Documentary,"$11,897","1,298"
592,I Do Not Care If We Go Down…, 2019-07-19,Big World Pictures,Black Comedy,"$11,307","1,234"
603,Streetwise, 2019-07-19,Janus Films,Documentary,"$9,904","1,081"
623,Rosie, 2019-07-19,Blue Fox Entertai…,Drama,"$6,839",746
647,At War, 2019-07-19,Cinema Libre,Drama,"$4,605",502
662,TINY: The Life of Erin Blac…, 2019-07-19,Janus Films,Documentary,"$2,465",269
241,The Fighting Preacher, 2019-07-24,Purdie Distribution,Drama,"$955,781","104,342"
18,Once Upon a Time…in Hollywo…, 2019-07-26,Sony Pictures,Thriller/Suspense,"$141,096,530","15,403,551"
